doc;correct_sublabel;category;reasoning;subcategory;subcategory_reasoning;
The aim of our study was to investigate regional glucose metabolism with 18F-FDG positron emission tomography/computed tomography in a population of patients with Alzheimer’s disease (AD) in relation to cerebrospinal (CSF) levels of striatal dopamine transporter (DAT). All patients underwent lumbar puncture and received a biomarker-based diagnosis of AD. Differences in regional brain glucose metabolism were assessed by Statistical Parametric Mapping version 12 with the use of age, gender, and MMSE as covariates in the analysis. A positive correlation between CSF DAT levels and glucose metabolism at the level of two brain areas involved in the pathophysiological process of Alzheimer’s disease, the substantia nigra and the posterior cingulate gyrus, has been highlighted. Results indicate that patients with higher CSF DAT levels have a better metabolic pattern in two key zones, suggesting less advanced disease status in patients with more conserved dopaminergic systems.;A4;;;A4;The study explores the relationship between striatal dopamine transporter (DAT) levels and brain glucose metabolism, specifically in the substantia nigra and posterior cingulate gyrus, areas involved in the pathophysiology of Alzheimer's disease. The topic focuses on brain connectivity and neurotransmitters, fitting the definition of category A4: Neural Excitability, Synapses, and Brain Connectivity.;1
Tauopathies, including Alzheimer’s disease, are characterized by retinal ganglion cell loss associated with amyloid and phosphorylated tau deposits. We investigated the functional impact of these histopathological alterations in the murine P301S model of tauopathy. Visual impairments were demonstrated by a decrease in visual acuity already detectable at 6 months, the onset of disease. Visual signals to the cortex and retina were delayed at 6 and 9 months, respectively. Surprisingly, the retinal output signal was delayed at the light onset and advanced at the light offset. This antagonistic effect, due to a dysfunction of the cone photoreceptor synapse, was associated with changes in the expression of the vesicular glutamate transporter and a microglial reaction. This dysfunction of retinal glutamatergic synapses suggests a novel interpretation for visual deficits in tauopathies and it highlights the potential value of the retina for the diagnostic assessment and the evaluation of therapies in Alzheimer’s disease and other tauopathies.;A8;A;The paper investigates the functional impact of histopathological alterations in the murine P301S model of tauopathy. It provides insights into the cellular/molecular mechanisms underlying Alzheimer's disease and its progression, falling under the category of Disease Mechanisms.;A4;The abstract describes visual impairments, delayed visual signals, and changes in retinal glutamatergic synapses, which are all related to the category of Neural Excitability, Synapses, and Brain Connectivity.;FALSCH
Background and Purpose Tau deposition in the entorhinal cortex is the earliest pathological feature of Alzheimer’s disease (AD). However, this feature has also been observed in cognitively normal (CN) individuals and those with mild cognitive impairment (MCI). The precise pathophysiology for the development of tau deposition remains unclear. We hypothesized that reduced cerebral perfusion is associated with the development of tau deposition. MethodsA subset of the Alzheimer’s Disease Neuroimaging Initiative data set was utilized. Included patients had undergone arterial spin labeling perfusion MRI along with [18F]flortaucipir tau PET at baseline, within 1 year of the MRI, and a follow-up at 6 years. The association between baseline cerebral blood flow (CBF) and the baseline and 6-year tau PET was assessed. Univariate and multivariate linear modeling was performed, with p<0.05 indicating significance.ResultsSignificant differences were found in the CBF between patients with AD and MCI, and CN individuals in the left entorhinal cortex (p=0.013), but not in the right entorhinal cortex (p=0.076). The difference in maximum standardized uptake value ratio between 6 years and baseline was significantly and inversely associated with the baseline mean CBF (p=0.042, R2=0.54) in the left entorhinal cortex but not the right entorhinal cortex. Linear modeling demonstrated that CBF predicted 6-year tau deposition (p=0.015, R2=0.11).ConclusionsThe results of this study suggest that a reduction in CBF at the entorhinal cortex precedes tau deposition. Further work is needed to understand the mechanism underlying tau deposition in aging and disease.;A9;A;The publication analyzes the association between cerebral perfusion and tau deposition in the entorhinal cortex. It aims to understand the neuropathology and progression of AD, specifically focusing on the role of cerebral blood flow in tau deposition, which is a key pathological feature of AD. Therefore, it falls under the 'Disease Mechanisms' category.;A9;This study investigates the relationship between cerebral blood flow (CBF) and tau deposition in the entorhinal cortex, which is associated with vascular contributions to AD.;1
Tau protein aggregates are a major driver of neurodegeneration and behavioral impairments in tauopathies, including in Alzheimer’s disease (AD). Apolipoprotein E4 (APOE4), the highest genetic risk factor for late-onset AD, has been shown to exacerbate tau hyperphosphorylation in mouse models. However, the exact mechanisms through which APOE4 induces tau hyperphosphorylation remains unknown. Here, we report that the astrocyte-secreted protein glypican-4 (GPC-4), which we identify as a binding partner of APOE4, drives tau hyperphosphorylation. We discovered that first, GPC-4 preferentially interacts with APOE4 in comparison to APOE2, considered to be a protective allele to AD, and second, that postmortem APOE4-carrying AD brains highly express GPC-4 in neurotoxic astrocytes. Furthermore, the astrocyte-secreted GPC-4 induced both tau accumulation and propagation in vitro. CRISPR/dCas9-mediated activation of GPC-4 in a tauopathy mouse model robustly induced tau hyperphosphorylation. In the absence of GPC4, APOE4-induced tau hyperphosphorylation was largely diminished using in vitro tau fluorescence resonance energy transfer-biosensor cells, in human-induced pluripotent stem cell-derived astrocytes and in an in vivo mouse model. We further show that APOE4-mediated surface trafficking of APOE receptor low-density lipoprotein receptor-related protein 1 through GPC-4 can be a gateway to tau spreading. Collectively, these data support that APOE4-induced tau hyperphosphorylation is directly mediated by GPC-4.;A1b;A;The abstract is about the mechanisms of tau hyperphosphorylation in AD and how APOE4 induces it through GPC-4.;A6;The study focuses on the role of GPC-4 in APOE4-induced tau hyperphosphorylation, which is a key aspect of tau pathology in AD.;FALSCH
Parkinson's disease and Alzheimer's disease show overlapping features both clinically and neuropathologically and elucidating shared mechanisms could have important implications for therapeutic strategies. Evidence for genetic overlap is limited, although enrichment of heritability in genomic regions relevant to microglia has been demonstrated in both disorders. Using summary statistics from genome-wide association studies, we assessed genetic covariance stratified by cell types and local genetic correlation between Parkinson's and Alzheimer's disease. Significant covariance was observed for neurons only (p = 0.00046), and local genetic correlation was significant only in the human leukocyte antigen region (p = 1.0e-05). Our findings support a minor genetic overlap between these two disorders.;A1a;A;The abstract of the publication is about the genetic overlap between Parkinson's and Alzheimer's diseases, which is relevant to understanding the disease mechanisms of Alzheimer's disease.;A1;The publication is about genetic overlap between Parkinson's and Alzheimer's disease.;FALSCH
Alteration of the levels, localization or post-translational processing of the microtubule associated protein Tau is associated with many neurodegenerative disorders. Here we develop adult-onset models for human Tau (hTau) toxicity in Drosophila that enable age-dependent quantitative measurement of central nervous system synapse loss and axonal degeneration, in addition to effects upon lifespan, to facilitate evaluation of factors that may contribute to Tau-dependent neurodegeneration. Using these models, we interrogate the interaction of hTau with the retromer complex, an evolutionarily conserved cargo-sorting protein assembly, whose reduced activity has been associated with both Parkinson’s and late onset Alzheimer’s disease. We reveal that reduction of retromer activity induces a potent enhancement of hTau toxicity upon synapse loss, axon retraction and lifespan through a specific increase in the production of a C-terminal truncated isoform of hTau. Our data establish a molecular and subcellular mechanism necessary and sufficient for the depletion of retromer activity to exacerbate Tau-dependent neurodegeneration.;A6;A;The publication uses human Tau (hTau) toxicity in Drosophila models to interrogate the interaction of hTau with the retromer complex, and reveals a molecular and subcellular mechanism necessary and sufficient for the depletion of retromer activity to exacerbate Tau-dependent neurodegeneration. Thus, this publication is most relevant to understanding the disease mechanisms of AD.;A6;The abstract clearly discusses Tau Pathology, specifically the interaction of hTau with the retromer complex, the production of a C-terminal truncated isoform of hTau, and the exacerbation of Tau-dependent neurodegeneration.;1
The formation of amyloid-ß peptides (Aß), that accumulate in Alzheimer’s disease (AD) brains, involves proteolytic processing of the amyloid precursor protein (APP) firstly by ß-secretase (BACE1). Since BACE1 cleaves a plethora of other substrates, in this work we investigated whether the proteolysis and/or distribution of other BACE1 substrates, such as seizure protein 6 (Sez6) and seizure 6-like protein (Sez6L), is altered in AD. To test this we used 5xFAD mouse model brains that show an early accumulation of Aß plaques already at 2-months of age. Here we show for the first time that accumulation of BACE1 in peri-plaque regions and its enhanced levels in AD brains does not affect proteolysis of BACE1 substrates other than APP, such as Sez6 and Sez6L. We observed altered distribution of Sez6 and Sez6L in the area of Aß plaques in 5xFAD brains which is distinct to that of APP, BACE1 and/or LAMP1, suggesting different localization and/or function of these BACE1 substrates. While it is necessary to further elucidate the potential role that this may play in the course of AD, it is likely that Aß-targeted therapies may have beneficial effects against accumulation and/or altered distribution of BACE1 and its substrates, in addition to APP.;A5;A;The abstract describes a study investigating the proteolytic processing of amyloid precursor protein (APP) and other BACE1 substrates in Alzheimer's disease (AD) mouse brains. It provides insights into the neuropathological mechanisms underlying AD and falls under the category of Disease Mechanisms.;A5;The publication focuses on the proteolytic processing of amyloid precursor protein (APP) by ß-secretase (BACE1) and its involvement in the formation of amyloid-ß peptides (Aß), which accumulate in Alzheimer's disease (AD) brains. It is about APP processing/secretases, amyloid-beta aggregation, and amyloid-beta function and amyloid-mediated toxicity/pathology, which belongs to the category of Amyloid Pathology.;1
In Alzheimer’s disease (AD), the reduction in acetylcholinesterase (AChE) enzymatic activity is not paralleled with changes in its protein levels, suggesting the presence of a considerable enzymatically inactive pool in the brain. In the present study, we validated previous findings, and, since inactive forms could result from post-translational modifications, we analyzed the glycosylation of AChE by lectin binding in brain samples from sporadic and familial AD (sAD and fAD). Most of the enzymatically active AChE was bound to lectins Canavalia ensiformis (Con A) and Lens culinaris agglutinin (LCA) that recognize terminal mannoses, whereas Western blot assays showed a very low percentage of AChE protein being recognized by the lectin. This indicates that active and inactive forms of AChE vary in their glycosylation pattern, particularly in the presence of terminal mannoses in active ones. Moreover, sAD subjects showed reduced binding to terminal mannoses compared to non-demented controls, while, for fAD patients that carry mutations in the PSEN1 gene, the binding was higher. The role of presenilin-1 (PS1) in modulating AChE glycosylation was then studied in a cellular model that overexpresses PS1 (CHO-PS1). In CHO-PS1 cells, binding to LCA indicates that AChE displays more terminal mannoses in oligosaccharides with a fucosylated core. Immunocytochemical assays also demonstrated increased presence of AChE in the trans-Golgi. Moreover, AChE enzymatic activity was higher in plasmatic membrane of CHO-PS1 cells. Thus, our results indicate that PS1 modulates trafficking and maturation of AChE in Golgi regions favoring the presence of active forms in the membrane.;A1c;A;The abstract explores the post-translational modifications of AChE in sporadic and familial AD, making it relevant to the understanding of the disease mechanisms in AD.;A2;The publication mainly focuses on post-translational modifications of AChE, particularly glycosylation.;FALSCH
A Disintegrin and Metalloprotease 10, also known as ADAM10, is a cell surface protease ubiquitously expressed in mammalian cells where it cuts several membrane proteins implicated in multiple physiological processes. The dysregulation of ADAM10 expression and function has been implicated in pathological conditions, including Alzheimer’s disease (AD). Although it has been suggested that ADAM10 is expressed as a zymogen and the removal of the prodomain results in its activation, other potential mechanisms for the ADAM10 proteolytic function and activation remain unclear. Another suggested mechanism is post-translational modification of the cytoplasmic domain, which regulates ADAM10-dependent protein ectodomain shedding. Therefore, the precise and temporal activation of ADAM10 is highly desirable to reveal the fine details of ADAM10-mediated cleavage mechanisms and protease-dependent therapeutic applications. Here, we present a strategy to control prodomain and cytosolic tail cleavage to regulate ADAM10 shedding activity without the intervention of small endogenous molecule signaling pathways. We generated a series of engineered ADAM10 analogs containing Tobacco Etch Virus protease (TEV) cleavage site (TEVcs), rendering ADAM10 cleavable by TEV. This strategy revealed that, in the absence of other stimuli, the TEV-mediated removal of the prodomain could not activate ADAM10. However, the TEV-mediated cleavage of the cytosolic domain significantly increased ADAM10 activity. Then, we generated ADAM10 with a minimal constitutively catalytic activity that increased significantly in the presence of TEV or after activating a chemically activatable TEV. Our results revealed a bioengineering strategy for controlling the ADAM10 activity in living cells, paving the way to obtain spatiotemporal control of ADAM10. Finally, we proved that our approach of controlling ADAM10 promoted α-secretase activity and the non-amyloidogenic cleavage of amyloid-β precursor protein (APP), thereby increasing the production of the neuroprotective soluble ectodomain (sAPPα). Our bioengineering strategy has the potential to be exploited as a next-generation gene therapy for AD.;A2;A;This paper addresses the disease mechanisms of Alzheimer's disease by investigating the regulation of ADAM10 shedding activity through bioengineered cleavage.;A5;The publication is about the regulation of ADAM10 shedding activity, which is involved in amyloid-beta precursor protein (APP) processing and amyloid-beta production. Therefore, the most relevant category is Amyloid Pathology.;FALSCH
Maternal overnutrition has been reported to affect brain plasticity of the offspring by altering gene expression, regulating both synaptic plasticity and adult neurogenesis. However, whether perinatal metabolic stress may influence the accumulation of misfolded proteins and the development of neurodegeneration remains to be clarified. We investigated the impact of maternal high fat diet (HFD) in an experimental model of Alzheimer’s disease (AD). The 3xTg-AD mice born to overfed mothers showed an impairment of synaptic plasticity and cognitive deficits earlier than controls. Maternal HFD also altered the expression of genes regulating amyloid-β-protein (Aβ) metabolism (i.e., Bace1, Ern1, Ide and Nicastrin) and enhanced Aβ deposition in the hippocampus. Finally, we found an epigenetic derangement and an aberrant recruitment of transcription factors NF-kB and STAT3 and chromatin remodeler HDAC2 on the regulatory sequences of the same genes. Collectively, our data indicate that early life metabolic stress worsens the AD phenotype via epigenetic alteration of genes regulating Aβ synthesis and clearance.;A3;A;The publication is about the impact of maternal high-fat diet on the development of Alzheimer's disease in an experimental model. It investigates the effects of maternal diet on synaptic plasticity, cognitive function, and the expression of genes regulating amyloid-beta (Aβ) synthesis and clearance. The publication provides insights into the neuropathology and molecular mechanisms underlying Alzheimer's disease and its progression.;A5;The publication focuses on the impact of maternal HFD on the expression of genes regulating amyloid-β-protein, and the enhancement of Aβ deposition, suggesting that the publication mainly belongs to the category of Amyloid Pathology (A5).;FALSCH
